From Date,To Date,T,TM,Tm,SLP,H,PP,VV,V,VM
20-dec-2015-00:00,21-dec-2015-00:00,12.6,21,0,1018.9,68,0,1.4,2.6,9.4,
21-dec-2015-00:00,22-dec-2015-00:00,13.7,21,5.6,1018.8,71,0,1.3,1.5,7.6,
22-dec-2015-00:00,23-dec-2015-00:00,13.6,21,6,1020.9,75,0,0.8,0.4,5.4,
23-dec-2015-00:00,24-dec-2015-00:00,13.6,20.4,6.5,1020.6,80,0,0.6,4.6,9.4,
24-dec-2015-00:00,25-dec-2015-00:00,13.1,19.2,6.7,1021.3,67,0,1.3,8.5,18.3,
25-dec-2015-00:00,26-dec-2015-00:00,13.3,19.3,5.5,1021.9,62,0,1.9,7.8,14.8,
26-dec-2015-00:00,27-dec-2015-00:00,14.4,21.5,5.5,1021,60,0,1.8,8.9,18.3,
27-dec-2015-00:00,28-dec-2015-00:00,16.3,22.5,7.6,1020.6,64,0,1.4,8.1,14.8,
28-dec-2015-00:00,29-dec-2015-00:00,18.3,24.5,12,1020.8,58,0,2.1,14.1,22.2,
29-dec-2015-00:00,30-dec-2015-00:00,17.8,24.5,10.6,1018.2,64,0,1.6,10.2,18.3,
30-dec-2015-00:00,31-dec-2015-00:00,18,25.1,8.5,1017.7,64,0,1.3,3.5,9.4,
31-dec-2015-00:00,32-dec-2015-00:00,-,-,-,-,-,-,-,-,-,
1-jan-2016-00:00,2-jan-2016-00:00,16.9,25.1,6.6,1021.3,65,0,1.1,2,7.6,
2-jan-2016-00:00,3-jan-2016-00:00,15.5,24.1,7.7,1021,71,0,1.1,3.5,11.1,
