From Date,To Date,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NO2 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),Air_Quality_Index(AQI),AQI Category
03-Sep-2018 - 00:00 ,04-Sep-2018 - 00:00 ,114.42,63.37,2.6,51.99,48.78,11.36,2.43,109,2
04-Sep-2018 - 00:00 ,05-Sep-2018 - 00:00 ,177.91,79.21,39.37,61.16,40.58,12.39,2.87,500,4
05-Sep-2018 - 00:00 ,06-Sep-2018 - 00:00 ,186.85,48.73,41.57,63.93,27.38,16.2,2.4,500,4
06-Sep-2018 - 00:00 ,07-Sep-2018 - 00:00 ,228.33,50.66,42.74,67.42,30.57,25.23,2.8,500,4
07-Sep-2018 - 00:00 ,08-Sep-2018 - 00:00 ,148.64,58.4,40.54,87.39,53.05,21.19,2.63,500,4
08-Sep-2018 - 00:00 ,09-Sep-2018 - 00:00 ,99.48,34.35,37.29,48.87,40.11,20.78,1.76,500,4
09-Sep-2018 - 00:00 ,10-Sep-2018 - 00:00 ,68.22,24.54,30.08,31.88,33.48,20.35,1.53,377,4
10-Sep-2018 - 00:00 ,11-Sep-2018 - 00:00 ,136.82,41.64,31.06,55.04,42.86,21.52,1.99,382,4
11-Sep-2018 - 00:00 ,12-Sep-2018 - 00:00 ,167.18,34.77,27.08,70.34,33.19,20.03,2.05,359,4
12-Sep-2018 - 00:00 ,13-Sep-2018 - 00:00 ,200.44,35.6,29.9,62.16,29.73,20.9,1.78,376,4
13-Sep-2018 - 00:00 ,14-Sep-2018 - 00:00 ,210.65,35.29,28.49,67.9,28.4,20.68,1.71,367,4
14-Sep-2018 - 00:00 ,15-Sep-2018 - 00:00 ,191.56,41.13,30.23,65.59,32.32,20.35,2.06,378,4
15-Sep-2018 - 00:00 ,16-Sep-2018 - 00:00 ,219.18,41.42,36.3,73.42,33.42,24.53,1.96,500,4
16-Sep-2018 - 00:00 ,17-Sep-2018 - 00:00 ,193.68,50.71,35.6,57.54,30.02,21.17,2.11,500,4
17-Sep-2018 - 00:00 ,18-Sep-2018 - 00:00 ,235.77,62.97,41.28,74.84,22.77,23.37,1.74,500,4
18-Sep-2018 - 00:00 ,19-Sep-2018 - 00:00 ,231.56,51.31,35.63,83.47,20.13,19.48,2.47,500,4
19-Sep-2018 - 00:00 ,20-Sep-2018 - 00:00 ,277.13,70.21,47.13,94.2,22.82,25.41,2.11,500,4
20-Sep-2018 - 00:00 ,21-Sep-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
21-Sep-2018 - 00:00 ,22-Sep-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
22-Sep-2018 - 00:00 ,23-Sep-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
23-Sep-2018 - 00:00 ,24-Sep-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
24-Sep-2018 - 00:00 ,25-Sep-2018 - 00:00 ,49.8,39.55,29.23,79.32,12.58,21.59,2.12,372,4
25-Sep-2018 - 00:00 ,26-Sep-2018 - 00:00 ,64.36,28.99,33.4,67.7,10.49,21.7,2.42,396,4
26-Sep-2018 - 00:00 ,27-Sep-2018 - 00:00 ,202.69,51.38,38.32,89.45,20.1,21.72,2.18,500,4
27-Sep-2018 - 00:00 ,28-Sep-2018 - 00:00 ,364.92,100.64,49.91,114.55,21.72,23.63,3.71,500,4
28-Sep-2018 - 00:00 ,29-Sep-2018 - 00:00 ,501.93,123.84,70.94,131.61,23.48,22.59,3.65,500,4
29-Sep-2018 - 00:00 ,30-Sep-2018 - 00:00 ,363.05,124.32,67.18,111.56,25.51,20.87,2.46,500,4
30-Sep-2018 - 00:00 ,01-Oct-2018 - 00:00 ,201.12,64.91,59.5,100.37,22.27,20.74,2.34,500,4
01-Oct-2018 - 00:00 ,02-Oct-2018 - 00:00 ,208.39,68.36,61.13,112.65,26.59,22.57,2.01,500,4
02-Oct-2018 - 00:00 ,03-Oct-2018 - 00:00 ,241.07,58.48,79.26,98.7,82.32,23.56,1.89,500,4
03-Oct-2018 - 00:00 ,04-Oct-2018 - 00:00 ,310.48,75.24,68.31,126.49,34.38,23.08,3.25,500,4
04-Oct-2018 - 00:00 ,05-Oct-2018 - 00:00 ,332.11,134.73,66.85,117.45,57.1,21.18,3.4,500,4
05-Oct-2018 - 00:00 ,06-Oct-2018 - 00:00 ,374.22,140.02,78.4,120.39,38.46,20.23,2.32,500,4
06-Oct-2018 - 00:00 ,07-Oct-2018 - 00:00 ,340.44,86.23,58.93,115.14,24.69,21.22,18.98,500,4
07-Oct-2018 - 00:00 ,08-Oct-2018 - 00:00 ,356.23,95.2,54.15,113.36,29.87,21.02,18.98,500,4
08-Oct-2018 - 00:00 ,09-Oct-2018 - 00:00 ,397.66,151.45,56.86,124.28,56.9,21.09,3.84,500,4
09-Oct-2018 - 00:00 ,10-Oct-2018 - 00:00 ,319.77,104.92,48.55,79.18,62.41,20.84,2.78,500,4
10-Oct-2018 - 00:00 ,11-Oct-2018 - 00:00 ,332.36,98.44,44.02,84.33,45.49,21.11,3.45,500,4
11-Oct-2018 - 00:00 ,12-Oct-2018 - 00:00 ,238.18,70.32,41.86,54.17,41.81,20.55,1.95,500,4
12-Oct-2018 - 00:00 ,13-Oct-2018 - 00:00 ,247.92,78.92,43.0,96.5,25.05,20.31,2.19,500,4
13-Oct-2018 - 00:00 ,14-Oct-2018 - 00:00 ,433.23,200.07,62.97,129.1,15.99,20.93,2.52,500,4
14-Oct-2018 - 00:00 ,15-Oct-2018 - 00:00 ,325.66,101.62,52.92,139.39,14.08,21.0,2.75,500,4
15-Oct-2018 - 00:00 ,16-Oct-2018 - 00:00 ,381.02,137.74,62.11,144.4,18.26,20.56,2.78,500,4
16-Oct-2018 - 00:00 ,17-Oct-2018 - 00:00 ,546.43,178.92,85.55,145.14,52.26,18.47,3.58,500,4
17-Oct-2018 - 00:00 ,18-Oct-2018 - 00:00 ,472.96,171.62,67.52,137.41,40.74,25.16,3.45,500,4
18-Oct-2018 - 00:00 ,19-Oct-2018 - 00:00 ,446.89,169.46,70.44,112.49,66.51,21.03,3.64,500,4
19-Oct-2018 - 00:00 ,20-Oct-2018 - 00:00 ,432.25,173.17,64.41,130.39,37.26,20.06,3.09,500,4
20-Oct-2018 - 00:00 ,21-Oct-2018 - 00:00 ,435.86,213.25,47.02,117.31,27.38,21.07,2.76,500,4
21-Oct-2018 - 00:00 ,22-Oct-2018 - 00:00 ,394.27,175.7,50.26,114.1,26.06,20.56,2.94,500,4
22-Oct-2018 - 00:00 ,23-Oct-2018 - 00:00 ,387.15,147.14,44.21,126.3,21.13,21.2,3.12,500,4
23-Oct-2018 - 00:00 ,24-Oct-2018 - 00:00 ,461.61,162.53,47.2,136.49,26.2,22.96,3.45,500,4
24-Oct-2018 - 00:00 ,25-Oct-2018 - 00:00 ,551.34,217.26,92.44,164.23,66.94,21.93,3.36,500,4
25-Oct-2018 - 00:00 ,26-Oct-2018 - 00:00 ,506.08,210.05,32.63,161.28,70.84,27.85,2.85,500,4
26-Oct-2018 - 00:00 ,27-Oct-2018 - 00:00 ,597.96,282.55,63.64,174.0,33.43,27.29,3.71,500,4
27-Oct-2018 - 00:00 ,28-Oct-2018 - 00:00 ,628.36,266.7,76.23,199.29,24.99,26.3,5.2,500,4
28-Oct-2018 - 00:00 ,29-Oct-2018 - 00:00 ,511.34,263.84,73.12,157.53,19.42,14.93,3.91,500,4
29-Oct-2018 - 00:00 ,30-Oct-2018 - 00:00 ,655.63,312.94,76.65,192.36,22.9,16.2,5.75,500,4
30-Oct-2018 - 00:00 ,31-Oct-2018 - 00:00 ,672.94,357.19,88.21,212.78,22.62,16.45,5.18,500,4
31-Oct-2018 - 00:00 ,01-Nov-2018 - 00:00 ,581.16,256.26,108.3,144.07,23.39,8.69,4.26,500,4
